result,odds_home,odds_draw,odds_away,home_wins,home_draws,home_losses,home_goals,home_opposition_goals,home_shots,home_shots_on_target,home_opposition_shots,home_opposition_shots_on_target,away_wins,away_draws,away_losses,away_goals,away_opposition_goals,away_shots,away_shots_on_target,away_opposition_shots,away_opposition_shots_on_target
1,2.88,3.75,2.2,4,3,3,17,13,145,44,124,43,6,0,4,23,17,179,70,113,56
1,1.57,3.8,6.0,6,3,1,13,9,129,44,134,34,4,1,5,11,16,114,37,150,52
1,1.3,5.0,10.0,5,2,3,22,13,168,64,130,33,2,2,6,10,18,133,48,152,67
0,5.0,3.5,1.73,5,2,3,16,13,152,55,104,45,6,1,3,20,9,217,77,94,30
0,3.6,3.25,2.1,3,1,6,12,17,110,35,157,47,6,2,2,26,17,164,60,100,38
1,2.2,3.2,3.4,2,5,3,10,14,98,31,152,47,2,2,6,8,18,78,28,155,48
1,3.1,3.3,2.3,3,6,1,18,13,112,44,141,49,6,2,2,25,14,161,69,94,33
1,1.36,4.5,9.5,5,2,3,19,9,210,74,95,31,4,5,1,19,12,109,43,146,46
1,1.4,4.5,8.0,6,2,2,24,15,162,57,99,39,4,2,4,14,10,123,36,130,45
0,2.88,3.2,2.5,2,1,7,8,19,130,47,149,63,7,2,1,14,8,126,44,129,31
0,2.05,3.2,3.8,3,1,6,10,18,112,37,145,49,1,2,7,9,23,125,42,145,56
0,2.6,3.0,2.9,4,2,4,12,17,91,29,134,39,4,3,3,14,12,144,51,110,47
0,2.5,3.2,2.9,5,2,3,25,17,169,65,98,35,6,2,2,25,12,163,61,131,35
2,2.25,3.2,3.3,2,2,6,11,18,124,43,133,47,5,2,3,16,11,144,43,123,39
2,2.7,3.1,2.7,4,0,6,11,20,106,32,200,73,3,4,3,12,15,92,30,151,50
0,1.91,4.0,3.4,6,0,4,21,15,181,65,110,54,4,2,4,13,13,151,44,139,43
1,2.4,3.2,3.0,2,2,6,8,17,84,31,141,43,3,2,5,10,14,116,38,154,47
0,1.17,6.5,17.0,6,2,2,22,6,216,75,89,27,2,2,6,11,19,128,44,137,49
2,1.57,3.8,6.0,7,3,0,16,6,128,47,124,29,4,3,3,12,13,93,32,121,32
2,3.5,3.3,2.1,2,2,6,9,18,112,37,138,45,6,2,2,21,15,166,56,97,38
0,2.9,3.5,2.3,4,1,5,14,11,123,36,143,50,5,1,4,18,15,177,57,115,49
0,1.91,3.4,4.0,1,3,6,9,20,126,40,149,55,2,2,6,9,17,132,43,143,58
1,3.0,3.25,2.38,5,2,3,14,11,136,42,125,40,4,3,3,22,17,172,64,101,37
0,1.62,3.75,5.75,3,3,4,11,13,151,40,141,39,4,3,3,13,14,94,31,150,50
2,3.0,3.25,2.38,4,4,2,15,11,132,47,111,50,6,2,2,25,12,161,64,135,34
1,1.62,3.75,5.5,3,2,5,9,13,107,34,148,47,3,0,7,9,22,108,31,193,73
1,1.57,3.75,6.0,4,4,2,18,15,108,43,160,52,2,2,6,8,17,87,32,137,41
2,1.5,4.33,6.0,5,2,3,19,15,182,60,112,50,1,3,6,10,21,132,43,152,57
1,1.5,4.2,6.5,6,2,2,23,11,157,63,140,33,6,1,3,16,12,135,45,127,39
0,2.1,3.25,3.5,3,4,3,14,16,96,33,153,54,4,2,4,15,11,117,40,131,39
2,5.5,3.8,1.62,5,2,3,11,11,82,29,128,34,5,3,2,17,6,208,72,78,22
1,1.73,3.5,5.0,3,3,4,20,18,177,63,95,39,4,3,3,16,13,132,44,119,56
1,2.8,3.25,2.5,2,3,5,10,16,122,40,133,46,6,3,1,13,5,129,45,121,27
1,1.53,4.0,6.0,7,2,1,21,12,170,58,96,35,5,3,2,17,13,106,42,152,48
2,2.15,3.2,3.5,1,3,6,8,18,122,37,151,61,1,2,7,6,17,104,33,136,42
2,3.0,3.2,2.4,3,0,7,8,22,91,25,189,74,4,2,4,17,13,125,45,147,54
1,3.5,3.3,2.1,2,1,7,8,18,88,31,126,37,3,4,3,11,12,148,38,137,39
1,1.62,3.8,5.5,6,2,2,19,7,205,74,82,25,3,3,4,18,17,167,62,102,41
0,2.88,3.2,2.5,6,2,2,15,8,135,48,109,27,7,1,2,23,9,159,61,126,30
0,2.2,3.2,3.4,2,2,6,7,14,107,36,130,40,5,1,4,14,13,134,43,130,40
0,1.85,3.3,4.5,4,2,4,17,15,126,43,148,55,2,1,7,10,19,86,32,126,40
0,5.25,3.6,1.67,2,2,6,12,21,125,40,160,58,8,1,1,21,11,164,62,90,31
1,1.57,4.0,5.5,3,3,4,10,13,142,38,134,38,5,2,3,11,11,80,30,131,36
0,1.57,3.75,6.0,1,3,6,9,17,131,42,142,58,3,0,7,10,24,83,23,193,75
0,1.8,3.5,4.5,4,2,4,14,13,132,41,122,60,3,3,4,12,15,108,37,132,45
1,3.2,3.5,2.15,3,3,4,12,10,112,36,118,34,4,2,4,19,19,188,59,114,50
1,2.0,3.3,3.8,5,2,3,16,13,102,40,160,50,3,5,2,14,14,98,31,135,45
1,1.5,4.0,7.0,7,2,1,21,12,165,63,88,31,3,3,4,13,13,132,40,120,58
0,2.2,3.2,3.4,5,1,4,12,14,84,31,137,44,0,4,6,7,17,123,35,139,54
1,3.4,3.4,2.1,3,2,5,19,22,186,58,117,56,7,2,1,21,6,209,79,79,23
1,2.0,3.3,3.8,5,2,3,13,10,131,39,117,31,4,3,3,18,15,127,44,142,51
1,2.0,3.4,3.75,3,2,5,16,17,164,62,110,44,4,3,3,13,13,144,42,128,34
1,2.4,3.2,3.0,2,4,4,11,15,112,38,132,43,6,2,2,17,10,110,43,153,45
0,1.36,4.75,8.0,6,2,2,23,10,160,64,128,33,3,3,4,14,11,108,37,124,37
2,3.0,3.2,2.4,3,1,6,11,24,87,27,188,72,2,3,5,13,21,118,39,163,61
1,2.1,3.1,3.75,3,4,3,12,13,98,28,135,46,2,3,5,7,13,101,31,135,42
